Extraction Date:,6/5/2014,,,,,,,
Updated:,,,,,,,,
Revised:,,,,,,,,
,,,,,,,,
Year,State,Personnel Type,"Teachers Highly Qualified/Paraprofessionals Qualified","Teachers Not Highly Qualified/Paraprofessionals Not Qualified",Teachers/Paraprofessionals Total,Fully Certified,Not Fully Certified,Fully Certified/Not Fully Certified Total
2012,Oklahoma,Total Special Education Teachers,3737,11,3748,-,-,-
2012,Oregon,Audiologists,-,-,-,15.86,0,15.86
2012,Oregon,Counselors and Rehabilitation Counselors,-,-,-,19.39,9.45,28.84
2012,Oregon,Interpreters,-,-,-,8.61,59.49,68.1
2012,Oregon,Medical/Nursing Service Staff,-,-,-,85.54,6.75,92.29
2012,Oregon,Occupational Therapists,-,-,-,103.13,26.81,129.94
2012,Oregon,Orientation and Mobility Specialists,-,-,-,21.23,0.78,22.01
2012,Oregon,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,42.49,0.35,42.84
2012,Oregon,Physical Therapists,-,-,-,46.9,6.71,53.61
2012,Oregon,Psychologists,-,-,-,245.07,10.79,255.86
2012,Oregon,Social Workers,-,-,-,17.46,1.36,18.82
2012,Oregon,Special Education Paraprofessionals for Ages 3-5,103.6,124.53,228.13,-,-,-
2012,Oregon,Special Education Paraprofessionals for Ages 6-21,4717.23,925.03,5642.26,-,-,-
2012,Oregon,Special Education Teachers for Ages 3-5,136.48,14.51,150.99,-,-,-
2012,Oregon,Special Education Teachers for Ages 6-21,2853.88,70.09,2923.97,-,-,-
2012,Oregon,Speech-Language Pathologists,-,-,-,736.81,22.87,759.68
2012,Oregon,Total Special Education Paraprofessionals,4820.83,1049.56,5870.39,-,-,-
2012,Oregon,Total Special Education Teachers,2990.36,84.6,3074.96,-,-,-
2012,Pennsylvania,Audiologists,-,-,-,69.52,0,69.52
2012,Pennsylvania,Counselors and Rehabilitation Counselors,-,-,-,1785.39,42.4,1827.79
2012,Pennsylvania,Interpreters,-,-,-,245.89,13.5,259.39
2012,Pennsylvania,Medical/Nursing Service Staff,-,-,-,1131.2,53.82,1185.02
2012,Pennsylvania,Occupational Therapists,-,-,-,1042.02,22.64,1064.66
2012,Pennsylvania,Orientation and Mobility Specialists,-,-,-,78.96,1,79.96
2012,Pennsylvania,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,1125.46,14.4,1139.86
2012,Pennsylvania,Physical Therapists,-,-,-,424.41,8.75,433.16
2012,Pennsylvania,Psychologists,-,-,-,1620.98,35,1655.98
2012,Pennsylvania,Social Workers,-,-,-,419.72,48.47,468.19
2012,Pennsylvania,Special Education Paraprofessionals for Ages 3-5,827.06,4.3,831.36,-,-,-
2012,Pennsylvania,Special Education Paraprofessionals for Ages 6-21,19887.27,360.98,20248.25,-,-,-
2012,Pennsylvania,Special Education Teachers for Ages 3-5,1109.58,17,1126.58,-,-,-
2012,Pennsylvania,Special Education Teachers for Ages 6-21,19642.3,724.95,20367.25,-,-,-
2012,Pennsylvania,Speech-Language Pathologists,-,-,-,2634.6,50.5,2685.1
2012,Pennsylvania,Total Special Education Paraprofessionals,20714.33,365.28,21079.61,-,-,-
2012,Pennsylvania,Total Special Education Teachers,20751.88,741.95,21493.83,-,-,-
2012,Puerto Rico,Audiologists,-,-,-,14,0,14
2012,Puerto Rico,Counselors and Rehabilitation Counselors,-,-,-,2,2,4
2012,Puerto Rico,Interpreters,-,-,-,0,0,0
2012,Puerto Rico,Medical/Nursing Service Staff,-,-,-,8,0,8
2012,Puerto Rico,Occupational Therapists,-,-,-,694,0,694
2012,Puerto Rico,Orientation and Mobility Specialists,-,-,-,0,0,0
2012,Puerto Rico,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,178,0,178
2012,Puerto Rico,Physical Therapists,-,-,-,148,0,148
2012,Puerto Rico,Psychologists,-,-,-,711,0,711
2012,Puerto Rico,Social Workers,-,-,-,131,0,131
2012,Puerto Rico,Special Education Paraprofessionals for Ages 3-5,144,0,144,-,-,-
2012,Puerto Rico,Special Education Paraprofessionals for Ages 6-21,4948,0,4948,-,-,-
2012,Puerto Rico,Special Education Teachers for Ages 3-5,178.33,38.74,217.07,-,-,-
2012,Puerto Rico,Special Education Teachers for Ages 6-21,4275.67,1253.26,5528.93,-,-,-
2012,Puerto Rico,Speech-Language Pathologists,-,-,-,965,0,965
2012,Puerto Rico,Total Special Education Paraprofessionals,5092,0,5092,-,-,-
2012,Puerto Rico,Total Special Education Teachers,4454,1292,5746,-,-,-
2012,Republic of Palau,Audiologists,-,-,-,-,-,-
2012,Republic of Palau,Counselors and Rehabilitation Counselors,-,-,-,-,-,-
2012,Republic of Palau,Interpreters,-,-,-,-,-,-
2012,Republic of Palau,Medical/Nursing Service Staff,-,-,-,-,-,-
2012,Republic of Palau,Occupational Therapists,-,-,-,0,1,1
2012,Republic of Palau,Orientation and Mobility Specialists,-,-,-,-,-,-
2012,Republic of Palau,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,-,-,-
2012,Republic of Palau,Physical Therapists,-,-,-,-,-,-
2012,Republic of Palau,Psychologists,-,-,-,-,-,-
2012,Republic of Palau,Social Workers,-,-,-,-,-,-
2012,Republic of Palau,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2012,Republic of Palau,Special Education Paraprofessionals for Ages 6-21,0,0,0,-,-,-
2012,Republic of Palau,Special Education Teachers for Ages 3-5,1,1,2,-,-,-
2012,Republic of Palau,Special Education Teachers for Ages 6-21,13,21,34,-,-,-
2012,Republic of Palau,Speech-Language Pathologists,-,-,-,0,2,2
2012,Republic of Palau,Total Special Education Paraprofessionals,0,0,0,-,-,-
2012,Republic of Palau,Total Special Education Teachers,14,22,36,-,-,-
2012,Republic of the Marshall Islands,Audiologists,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Counselors and Rehabilitation Counselors,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Interpreters,-,-,-,2,0,2
2012,Republic of the Marshall Islands,Medical/Nursing Service Staff,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Occupational Therapists,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Orientation and Mobility Specialists,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Physical Therapists,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Psychologists,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Social Workers,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Special Education Paraprofessionals for Ages 3-5,0,0,0,-,-,-
2012,Republic of the Marshall Islands,Special Education Paraprofessionals for Ages 6-21,0,0,0,-,-,-
2012,Republic of the Marshall Islands,Special Education Teachers for Ages 3-5,6,9,15,-,-,-
2012,Republic of the Marshall Islands,Special Education Teachers for Ages 6-21,59,70,129,-,-,-
2012,Republic of the Marshall Islands,Speech-Language Pathologists,-,-,-,-,-,-
2012,Republic of the Marshall Islands,Total Special Education Paraprofessionals,0,0,0,-,-,-
2012,Republic of the Marshall Islands,Total Special Education Teachers,65,79,144,-,-,-
2012,Rhode Island,Audiologists,-,-,-,4.41,1,5.41
2012,Rhode Island,Counselors and Rehabilitation Counselors,-,-,-,350,2,352
2012,Rhode Island,Interpreters,-,-,-,6.81,0,6.81
2012,Rhode Island,Medical/Nursing Service Staff,-,-,-,362.8,5,367.8
2012,Rhode Island,Occupational Therapists,-,-,-,138.39,0,138.39
2012,Rhode Island,Orientation and Mobility Specialists,-,-,-,4.48,0,4.48
2012,Rhode Island,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,46,7,53
2012,Rhode Island,Physical Therapists,-,-,-,41.98,0,41.98
2012,Rhode Island,Psychologists,-,-,-,172,3,175
2012,Rhode Island,Social Workers,-,-,-,194,9,203
2012,Rhode Island,Special Education Paraprofessionals for Ages 3-5,244.36,0,244.36,-,-,-
2012,Rhode Island,Special Education Paraprofessionals for Ages 6-21,1705.9,0,1705.9,-,-,-
2012,Rhode Island,Special Education Teachers for Ages 3-5,141.07,4.1,145.17,-,-,-
2012,Rhode Island,Special Education Teachers for Ages 6-21,1898.14,3.61,1901.75,-,-,-
2012,Rhode Island,Speech-Language Pathologists,-,-,-,258,19,277
2012,Rhode Island,Total Special Education Paraprofessionals,1950.26,0,1950.26,-,-,-
2012,Rhode Island,Total Special Education Teachers,2039.21,7.71,2046.92,-,-,-
2012,South Carolina,Audiologists,-,-,-,15.69,0,15.69
2012,South Carolina,Counselors and Rehabilitation Counselors,-,-,-,278.69,17,295.69
2012,South Carolina,Interpreters,-,-,-,99.13,3.5,102.63
2012,South Carolina,Medical/Nursing Service Staff,-,-,-,219.8,3,222.8
2012,South Carolina,Occupational Therapists,-,-,-,205.89,1.14,207.03
2012,South Carolina,Orientation and Mobility Specialists,-,-,-,21.69,1,22.69
2012,South Carolina,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,59.65,0,59.65
2012,South Carolina,Physical Therapists,-,-,-,87.21,0,87.21
2012,South Carolina,Psychologists,-,-,-,489.73,4,493.73
2012,South Carolina,Social Workers,-,-,-,63.13,0,63.13
2012,South Carolina,Special Education Paraprofessionals for Ages 3-5,622.71,7.84,630.55,-,-,-
2012,South Carolina,Special Education Paraprofessionals for Ages 6-21,4062.64,90.16,4152.8,-,-,-
2012,South Carolina,Special Education Teachers for Ages 3-5,711.78,12.02,723.8,-,-,-
2012,South Carolina,Special Education Teachers for Ages 6-21,5455.4,198.21,5653.61,-,-,-
2012,South Carolina,Speech-Language Pathologists,-,-,-,15.3,0,15.3
2012,South Carolina,Total Special Education Paraprofessionals,4685.35,98,4783.35,-,-,-
2012,South Carolina,Total Special Education Teachers,6167.18,210.23,6377.41,-,-,-
2012,South Dakota,Audiologists,-,-,-,0.82,0,0.82
2012,South Dakota,Counselors and Rehabilitation Counselors,-,-,-,6.23,0.4,6.63
2012,South Dakota,Interpreters,-,-,-,23.68,0,23.68
2012,South Dakota,Medical/Nursing Service Staff,-,-,-,22.57,0,22.57
2012,South Dakota,Occupational Therapists,-,-,-,57.08,1.3,58.38
2012,South Dakota,Orientation and Mobility Specialists,-,-,-,0,0,0
2012,South Dakota,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,9.04,0.12,9.16
2012,South Dakota,Physical Therapists,-,-,-,34.97,0.8,35.77
2012,South Dakota,Psychologists,-,-,-,67.72,1,68.72
2012,South Dakota,Social Workers,-,-,-,0.03,1,1.03
2012,South Dakota,Special Education Paraprofessionals for Ages 3-5,210.21,1.4,211.61,-,-,-
2012,South Dakota,Special Education Paraprofessionals for Ages 6-21,1510.85,6.04,1516.89,-,-,-
2012,South Dakota,Special Education Teachers for Ages 3-5,119.11,2,121.11,-,-,-
2012,South Dakota,Special Education Teachers for Ages 6-21,424.97,91.08,516.05,-,-,-
2012,South Dakota,Speech-Language Pathologists,-,-,-,244.99,1.82,246.81
2012,South Dakota,Total Special Education Paraprofessionals,1721.06,7.44,1728.5,-,-,-
2012,South Dakota,Total Special Education Teachers,544.08,93.08,637.16,-,-,-
2012,Tennessee,Audiologists,-,-,-,27.1,0,27.1
2012,Tennessee,Counselors and Rehabilitation Counselors,-,-,-,47.1,1.01,48.11
2012,Tennessee,Interpreters,-,-,-,121.21,17.25,138.46
2012,Tennessee,Medical/Nursing Service Staff,-,-,-,152.78,0,152.78
2012,Tennessee,Occupational Therapists,-,-,-,266.28,7.8,274.08
2012,Tennessee,Orientation and Mobility Specialists,-,-,-,20.82,1,21.82
2012,Tennessee,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,9.8,0,9.8
2012,Tennessee,Physical Therapists,-,-,-,115.66,2.75,118.41
2012,Tennessee,Psychologists,-,-,-,493.96,3.25,497.21
2012,Tennessee,Social Workers,-,-,-,62.45,1.8,64.25
2012,Tennessee,Special Education Paraprofessionals for Ages 3-5,722.8,13.42,736.22,-,-,-
2012,Tennessee,Special Education Paraprofessionals for Ages 6-21,7405.89,200.46,7606.35,-,-,-
2012,Tennessee,Special Education Teachers for Ages 3-5,495.27,57,552.27,-,-,-
2012,Tennessee,Special Education Teachers for Ages 6-21,6873.84,517.19,7391.03,-,-,-
2012,Tennessee,Speech-Language Pathologists,-,-,-,880.41,72.01,952.42
2012,Tennessee,Total Special Education Paraprofessionals,8128.69,213.88,8342.57,-,-,-
2012,Tennessee,Total Special Education Teachers,7369.11,574.19,7943.3,-,-,-
2012,Texas,Audiologists,-,-,-,63.83,0,63.83
2012,Texas,Counselors and Rehabilitation Counselors,-,-,-,389.28,0,389.28
2012,Texas,Interpreters,-,-,-,284.69,0,284.69
2012,Texas,Medical/Nursing Service Staff,-,-,-,84.67,0,84.67
2012,Texas,Occupational Therapists,-,-,-,574.65,0,574.65
2012,Texas,Orientation and Mobility Specialists,-,-,-,101.27,0,101.27
2012,Texas,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,9.78,0,9.78
2012,Texas,Physical Therapists,-,-,-,261.89,0,261.89
2012,Texas,Psychologists,-,-,-,1317.43,0,1317.43
2012,Texas,Social Workers,-,-,-,88.39,0,88.39
2012,Texas,Special Education Paraprofessionals for Ages 3-5,2901.52,11.25,2912.77,-,-,-
2012,Texas,Special Education Paraprofessionals for Ages 6-21,15277.62,64.95,15342.57,-,-,-
2012,Texas,Special Education Teachers for Ages 3-5,2531.04,22,2553.04,-,-,-
2012,Texas,Special Education Teachers for Ages 6-21,19618.66,233.24,19851.9,-,-,-
2012,Texas,Speech-Language Pathologists,-,-,-,3873.36,0,3873.36
2012,Texas,Total Special Education Paraprofessionals,18179.14,76.2,18255.34,-,-,-
2012,Texas,Total Special Education Teachers,22149.7,255.24,22404.94,-,-,-
2012,"U.S. and Outlying Areas, and Freely Associated States",Audiologists,-,-,-,1493.59,12.61,1506.2
2012,"U.S. and Outlying Areas, and Freely Associated States",Counselors and Rehabilitation Counselors,-,-,-,15578.58,284.94,15863.52
2012,"U.S. and Outlying Areas, and Freely Associated States",Interpreters,-,-,-,6148.24,690.3,6838.54
2012,"U.S. and Outlying Areas, and Freely Associated States",Medical/Nursing Service Staff,-,-,-,15366.65,779.28,16145.93
2012,"U.S. and Outlying Areas, and Freely Associated States",Occupational Therapists,-,-,-,19751.28,430.6,20181.88
2012,"U.S. and Outlying Areas, and Freely Associated States",Orientation and Mobility Specialists,-,-,-,1488.93,34.56,1523.49
2012,"U.S. and Outlying Areas, and Freely Associated States",Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,14052.56,152.46,14205.02
2012,"U.S. and Outlying Areas, and Freely Associated States",Physical Therapists,-,-,-,8186.76,217.78,8404.54
2012,"U.S. and Outlying Areas, and Freely Associated States",Psychologists,-,-,-,34615.6,413.07,35028.67
2012,"U.S. and Outlying Areas, and Freely Associated States",Social Workers,-,-,-,17250.32,525.75,17776.07
2012,"U.S. and Outlying Areas, and Freely Associated States",Special Education Paraprofessionals for Ages 3-5,43475.86,1657.55,45133.41,-,-,-
2012,"U.S. and Outlying Areas, and Freely Associated States",Special Education Paraprofessionals for Ages 6-21,407977.61,12038.79,420016.4,-,-,-
2012,"U.S. and Outlying Areas, and Freely Associated States",Special Education Teachers for Ages 3-5,38691.27,1539.35,40230.62,-,-,-
2012,"U.S. and Outlying Areas, and Freely Associated States",Special Education Teachers for Ages 6-21,336656.49,16998.58,353655.07,-,-,-
2012,"U.S. and Outlying Areas, and Freely Associated States",Speech-Language Pathologists,-,-,-,64789.76,1020.36,65810.12
2012,"U.S. and Outlying Areas, and Freely Associated States",Total Special Education Paraprofessionals,451453.47,13696.34,465149.81,-,-,-
2012,"U.S. and Outlying Areas, and Freely Associated States",Total Special Education Teachers,375347.76,18537.93,393885.69,-,-,-
2012,Utah,Audiologists,-,-,-,41.96,2,43.96
2012,Utah,Counselors and Rehabilitation Counselors,-,-,-,202.52,8.5,211.02
2012,Utah,Interpreters,-,-,-,60.75,4.93,65.68
2012,Utah,Medical/Nursing Service Staff,-,-,-,84.54,0,84.54
2012,Utah,Occupational Therapists,-,-,-,72.89,3.1,75.99
2012,Utah,Orientation and Mobility Specialists,-,-,-,28.3,0,28.3
2012,Utah,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,61.8,5,66.8
2012,Utah,Physical Therapists,-,-,-,35.85,3,38.85
2012,Utah,Psychologists,-,-,-,262.13,16.25,278.38
2012,Utah,Social Workers,-,-,-,55.1,0,55.1
2012,Utah,Special Education Paraprofessionals for Ages 3-5,494.31,24.5,518.81,-,-,-
2012,Utah,Special Education Paraprofessionals for Ages 6-21,3216.48,276.97,3493.45,-,-,-
2012,Utah,Special Education Teachers for Ages 3-5,293.67,22.52,316.19,-,-,-
2012,Utah,Special Education Teachers for Ages 6-21,2595.72,221.97,2817.69,-,-,-
2012,Utah,Speech-Language Pathologists,-,-,-,579.04,17.98,597.02
2012,Utah,Total Special Education Paraprofessionals,3710.79,301.47,4012.26,-,-,-
2012,Utah,Total Special Education Teachers,2889.39,244.49,3133.88,-,-,-
2012,Vermont,Audiologists,-,-,-,1.91,0,1.91
2012,Vermont,Counselors and Rehabilitation Counselors,-,-,-,27.1,4.35,31.45
2012,Vermont,Interpreters,-,-,-,8.04,0,8.04
2012,Vermont,Medical/Nursing Service Staff,-,-,-,7.48,0,7.48
2012,Vermont,Occupational Therapists,-,-,-,52.58,0.8,53.38
2012,Vermont,Orientation and Mobility Specialists,-,-,-,2.71,0,2.71
2012,Vermont,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,7.36,0.2,7.56
2012,Vermont,Physical Therapists,-,-,-,18.69,0.1,18.79
2012,Vermont,Psychologists,-,-,-,73.62,1,74.62
2012,Vermont,Social Workers,-,-,-,26.7,2.62,29.32
2012,Vermont,Special Education Paraprofessionals for Ages 3-5,154.98,1.5,156.48,-,-,-
2012,Vermont,Special Education Paraprofessionals for Ages 6-21,2824.75,23.13,2847.88,-,-,-
2012,Vermont,Special Education Teachers for Ages 3-5,106.18,1.83,108.01,-,-,-
2012,Vermont,Special Education Teachers for Ages 6-21,1152.73,14.51,1167.24,-,-,-
2012,Vermont,Speech-Language Pathologists,-,-,-,250.4,6.69,257.09
2012,Vermont,Total Special Education Paraprofessionals,2979.73,24.63,3004.36,-,-,-
2012,Vermont,Total Special Education Teachers,1258.91,16.34,1275.25,-,-,-
2012,Virgin Islands,Audiologists,-,-,-,0,0,0
2012,Virgin Islands,Counselors and Rehabilitation Counselors,-,-,-,0,0,0
2012,Virgin Islands,Interpreters,-,-,-,2,0,2
2012,Virgin Islands,Medical/Nursing Service Staff,-,-,-,0,0,0
2012,Virgin Islands,Occupational Therapists,-,-,-,2,0,2
2012,Virgin Islands,Orientation and Mobility Specialists,-,-,-,2,0,2
2012,Virgin Islands,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,2,0,2
2012,Virgin Islands,Physical Therapists,-,-,-,1,2,3
2012,Virgin Islands,Psychologists,-,-,-,14,2,16
2012,Virgin Islands,Social Workers,-,-,-,7,0,7
2012,Virgin Islands,Special Education Paraprofessionals for Ages 3-5,2,0,2,-,-,-
2012,Virgin Islands,Special Education Paraprofessionals for Ages 6-21,113,41,154,-,-,-
2012,Virgin Islands,Special Education Teachers for Ages 3-5,6,1,7,-,-,-
2012,Virgin Islands,Special Education Teachers for Ages 6-21,88,24,112,-,-,-
2012,Virgin Islands,Speech-Language Pathologists,-,-,-,8,1,9
2012,Virgin Islands,Total Special Education Paraprofessionals,115,41,156,-,-,-
2012,Virgin Islands,Total Special Education Teachers,94,25,119,-,-,-
2012,Virginia,Audiologists,-,-,-,41.9,0,41.9
2012,Virginia,Counselors and Rehabilitation Counselors,-,-,-,642.7,12.5,655.2
2012,Virginia,Interpreters,-,-,-,170.5,72,242.5
2012,Virginia,Medical/Nursing Service Staff,-,-,-,132.1,2,134.1
2012,Virginia,Occupational Therapists,-,-,-,284.57,21.4,305.97
2012,Virginia,Orientation and Mobility Specialists,-,-,-,12.4,0,12.4
2012,Virginia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,849.25,2,851.25
2012,Virginia,Physical Therapists,-,-,-,122.5,10,132.5
2012,Virginia,Psychologists,-,-,-,756.45,5,761.45
2012,Virginia,Social Workers,-,-,-,574.5,9,583.5
2012,Virginia,Special Education Paraprofessionals for Ages 3-5,1445.09,0,1445.09,-,-,-
2012,Virginia,Special Education Paraprofessionals for Ages 6-21,10548.58,0,10548.58,-,-,-
2012,Virginia,Special Education Teachers for Ages 3-5,522.98,0,522.98,-,-,-
2012,Virginia,Special Education Teachers for Ages 6-21,7610.56,2719.52,10330.08,-,-,-
2012,Virginia,Speech-Language Pathologists,-,-,-,1191.5,10.5,1202
2012,Virginia,Total Special Education Paraprofessionals,11993.67,0,11993.67,-,-,-
2012,Virginia,Total Special Education Teachers,8133.54,2719.52,10853.06,-,-,-
2012,Washington,Audiologists,-,-,-,24.41,0,24.41
2012,Washington,Counselors and Rehabilitation Counselors,-,-,-,105.87,0,105.87
2012,Washington,Interpreters,-,-,-,166.67,7.28,173.95
2012,Washington,Medical/Nursing Service Staff,-,-,-,243.34,12.88,256.22
2012,Washington,Occupational Therapists,-,-,-,450.13,4.27,454.4
2012,Washington,Orientation and Mobility Specialists,-,-,-,35.51,0,35.51
2012,Washington,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,37.05,1,38.05
2012,Washington,Physical Therapists,-,-,-,185.18,3.75,188.93
2012,Washington,Psychologists,-,-,-,970.76,2.2,972.96
2012,Washington,Social Workers,-,-,-,29.2,0,29.2
2012,Washington,Special Education Paraprofessionals for Ages 3-5,628.42,0,628.42,-,-,-
2012,Washington,Special Education Paraprofessionals for Ages 6-21,6399.82,0,6399.82,-,-,-
2012,Washington,Special Education Teachers for Ages 3-5,571.8,4.31,576.11,-,-,-
2012,Washington,Special Education Teachers for Ages 6-21,5348.68,176.59,5525.27,-,-,-
2012,Washington,Speech-Language Pathologists,-,-,-,1245.45,17.74,1263.19
2012,Washington,Total Special Education Paraprofessionals,7028.24,0,7028.24,-,-,-
2012,Washington,Total Special Education Teachers,5920.48,180.9,6101.38,-,-,-
2012,West Virginia,Audiologists,-,-,-,7.17,0.16,7.33
2012,West Virginia,Counselors and Rehabilitation Counselors,-,-,-,31.15,0,31.15
2012,West Virginia,Interpreters,-,-,-,52.5,30,82.5
2012,West Virginia,Medical/Nursing Service Staff,-,-,-,78.55,0,78.55
2012,West Virginia,Occupational Therapists,-,-,-,86.29,1.6,87.89
2012,West Virginia,Orientation and Mobility Specialists,-,-,-,8.02,0.1,8.12
2012,West Virginia,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,7.9,0,7.9
2012,West Virginia,Physical Therapists,-,-,-,44.58,0.4,44.98
2012,West Virginia,Psychologists,-,-,-,122.01,2,124.01
2012,West Virginia,Social Workers,-,-,-,0.82,0,0.82
2012,West Virginia,Special Education Paraprofessionals for Ages 3-5,206.85,42.2,249.05,-,-,-
2012,West Virginia,Special Education Paraprofessionals for Ages 6-21,1388.7,135,1523.7,-,-,-
2012,West Virginia,Special Education Teachers for Ages 3-5,276.05,66.05,342.1,-,-,-
2012,West Virginia,Special Education Teachers for Ages 6-21,2441.65,494.08,2935.73,-,-,-
2012,West Virginia,Speech-Language Pathologists,-,-,-,504.85,49.1,553.95
2012,West Virginia,Total Special Education Paraprofessionals,1595.55,177.2,1772.75,-,-,-
2012,West Virginia,Total Special Education Teachers,2717.7,560.13,3277.83,-,-,-
2012,Wisconsin,Audiologists,-,-,-,20.97,0.65,21.62
2012,Wisconsin,Counselors and Rehabilitation Counselors,-,-,-,186.84,1.13,187.97
2012,Wisconsin,Interpreters,-,-,-,199.13,3.5,202.63
2012,Wisconsin,Medical/Nursing Service Staff,-,-,-,131.1,0,131.1
2012,Wisconsin,Occupational Therapists,-,-,-,395.84,1,396.84
2012,Wisconsin,Orientation and Mobility Specialists,-,-,-,21.04,0,21.04
2012,Wisconsin,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,122.55,0.43,122.98
2012,Wisconsin,Physical Therapists,-,-,-,165.8,0,165.8
2012,Wisconsin,Psychologists,-,-,-,718.67,0.92,719.59
2012,Wisconsin,Social Workers,-,-,-,293.13,1.18,294.31
2012,Wisconsin,Special Education Paraprofessionals for Ages 3-5,154.86,0,154.86,-,-,-
2012,Wisconsin,Special Education Paraprofessionals for Ages 6-21,6485.39,29.88,6515.27,-,-,-
2012,Wisconsin,Special Education Teachers for Ages 3-5,642.93,19.93,662.86,-,-,-
2012,Wisconsin,Special Education Teachers for Ages 6-21,7451.23,216.85,7668.08,-,-,-
2012,Wisconsin,Speech-Language Pathologists,-,-,-,1714.14,2,1716.14
2012,Wisconsin,Total Special Education Paraprofessionals,6640.25,29.88,6670.13,-,-,-
2012,Wisconsin,Total Special Education Teachers,8094.16,236.78,8330.94,-,-,-
2012,Wyoming,Audiologists,-,-,-,2.2,1,3.2
2012,Wyoming,Counselors and Rehabilitation Counselors,-,-,-,18.98,1.78,20.76
2012,Wyoming,Interpreters,-,-,-,3.16,4,7.16
2012,Wyoming,Medical/Nursing Service Staff,-,-,-,5.3,0.73,6.03
2012,Wyoming,Occupational Therapists,-,-,-,45.4,3.1,48.5
2012,Wyoming,Orientation and Mobility Specialists,-,-,-,0.2,0,0.2
2012,Wyoming,Physical Education Teachers and Recreation and Therapeutic Recreation Specialists,-,-,-,8.75,2.48,11.23
2012,Wyoming,Physical Therapists,-,-,-,20.85,2,22.85
2012,Wyoming,Psychologists,-,-,-,12.71,1.69,14.4
2012,Wyoming,Social Workers,-,-,-,20.69,1.45,22.14
2012,Wyoming,Special Education Paraprofessionals for Ages 3-5,122.4,60.1,182.5,-,-,-
2012,Wyoming,Special Education Paraprofessionals for Ages 6-21,942.03,599.52,1541.55,-,-,-
2012,Wyoming,Special Education Teachers for Ages 3-5,87.1,7,94.1,-,-,-
2012,Wyoming,Special Education Teachers for Ages 6-21,594.96,12.83,607.79,-,-,-
2012,Wyoming,Speech-Language Pathologists,-,-,-,92.53,6.47,99
2012,Wyoming,Total Special Education Paraprofessionals,1064.43,659.62,1724.05,-,-,-
2012,Wyoming,Total Special Education Teachers,682.06,19.83,701.89,-,-,-
,,,,,,,,
,,,,,,,,
 -------------------,,,,,,,,
 -  Data not available.,,,,,,,,
